Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
SN2,"194,195",227,21,5,705,4.4,43,7,106,"41,193",16,"40,300",22,https://propertydata.co.uk/draw?input=SN2
SN3,"252,542",251,29,6,809,3.8,58,2,103,"51,560",18,"41,700",21,https://propertydata.co.uk/draw?input=SN3
SN4,"298,180",259,24,8,962,3.9,91,9,61,"27,358",24,"46,100",12,https://propertydata.co.uk/draw?input=SN4
SN5,"270,236",262,21,7,776,3.4,75,8,72,"32,955",25,"48,100",14,https://propertydata.co.uk/draw?input=SN5
SN6,"400,499",289,19,9,809,2.4,,8,48,"21,204",23,"49,100",13,https://propertydata.co.uk/draw?input=SN6
SN7,"466,992",303,13,9,961,2.5,,8,51,"13,408",37,"54,600",17,https://propertydata.co.uk/draw?input=SN7
SN8,"449,223",324,19,5,"1,185",3.2,100,10,49,"23,973",35,"45,900",17,https://propertydata.co.uk/draw?input=SN8
SN9,"398,089",290,7,6,,,,9,46,"8,070",32,"45,000",17,https://propertydata.co.uk/draw?input=SN9
SN10,"296,934",264,28,10,801,3.2,,9,82,"31,489",29,"44,900",20,https://propertydata.co.uk/draw?input=SN10
SN11,"294,926",250,20,6,773,3.1,,7,61,"22,500",28,"46,100",14,https://propertydata.co.uk/draw?input=SN11
SN12,"288,642",247,22,11,690,2.9,,7,81,"25,105",22,"43,000",14,https://propertydata.co.uk/draw?input=SN12
SN13,"326,592",293,10,7,955,3.5,,7,48,"16,487",34,"47,600",15,https://propertydata.co.uk/draw?input=SN13
SN14,"342,725",292,17,7,928,3.2,,6,57,"28,067",31,"50,000",14,https://propertydata.co.uk/draw?input=SN14
SN15,"285,639",280,33,8,769,3.2,86,7,71,"35,122",28,"49,300",12,https://propertydata.co.uk/draw?input=SN15
SN16,"447,387",325,9,5,900,2.4,100,11,38,"13,717",38,"49,500",10,https://propertydata.co.uk/draw?input=SN16
SN25,"265,477",252,32,6,773,3.5,81,2,71,"35,153",21,"54,600",8,https://propertydata.co.uk/draw?input=SN25
SO14,"205,278",285,13,1,"1,070",6.3,27,7,293,"27,227",30,"37,800",24,https://propertydata.co.uk/draw?input=SO14
SO15,"216,274",261,30,3,956,5.3,27,4,192,"41,701",29,"45,000",12,https://propertydata.co.uk/draw?input=SO15
SO16,"238,554",265,36,7,"1,006",5.1,32,7,128,"66,270",25,"42,600",29,https://propertydata.co.uk/draw?input=SO16
SO17,"222,141",258,7,1,"1,379",7.4,26,8,122,"19,431",37,"42,700",14,https://propertydata.co.uk/draw?input=SO17
SO18,"250,779",264,24,8,754,3.6,49,7,116,"36,794",23,"42,300",21,https://propertydata.co.uk/draw?input=SO18
SO19,"232,973",256,35,7,766,3.9,82,6,122,"55,876",17,"40,700",30,https://propertydata.co.uk/draw?input=SO19
SO20,"690,918",353,9,10,,,,5,50,"8,117",45,"56,900",13,https://propertydata.co.uk/draw?input=SO20
SO21,"555,434",365,11,5,"1,221",2.6,,7,51,"19,760",43,"62,000",11,https://propertydata.co.uk/draw?input=SO21
SO22,"579,263",239,20,3,"1,861",3.9,28,3,73,"28,546",45,"57,800",18,https://propertydata.co.uk/draw?input=SO22
SO23,"457,243",359,16,2,"1,278",3.4,31,5,137,"22,073",45,"50,900",24,https://propertydata.co.uk/draw?input=SO23
SO24,"597,830",397,9,5,965,1.9,,6,44,"11,416",40,"54,200",11,https://propertydata.co.uk/draw?input=SO24
SO30,"333,224",315,33,12,871,3.1,76,6,62,"32,351",28,"53,600",9,https://propertydata.co.uk/draw?input=SO30
SO31,"365,148",321,37,8,884,2.9,70,7,75,"44,713",32,"52,300",10,https://propertydata.co.uk/draw?input=SO31
SO32,"473,594",346,18,9,"1,149",2.9,,5,57,"19,871",39,"54,800",10,https://propertydata.co.uk/draw?input=SO32
SO40,"308,641",329,31,9,880,3.4,83,8,81,"41,930",24,"48,400",10,https://propertydata.co.uk/draw?input=SO40
SO41,"488,449",410,37,7,"1,054",2.6,34,5,62,"31,318",33,"44,700",10,https://propertydata.co.uk/draw?input=SO41
SO42,"703,267",454,7,10,,,,5,62,"4,977",36,"49,500",9,https://propertydata.co.uk/draw?input=SO42
SO43,"529,583",350,4,7,,,,5,76,"4,382",30,"47,500",11,https://propertydata.co.uk/draw?input=SO43
